Bana,Namn,Förening,Klass,Gren,S1,S2,S3,S4,S5,S6,Tot,Anm
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,Emil Ala-Kulju,Nyköpings SKG,Herr,Liggande,102.2,101.3,102.0,104.2,102.0,100.9,612.6,
10,Axel Rantakokko,Rasbo-Vaksala SKF,HJ,Liggande,96.3,101.6,102.6,103.0,100.2,99.8,603.5,
11,Sune Eriksson,Bogsta SKG,Veteran,Liggande,89.0,90.6,97.5,95.8,95.9,93.5,562.3,
12,Stefan Bengtsson,Ludvika SKF,Veteran,Liggande,101.6,98.3,99.5,99.5,96.7,101.1,596.7,
13,Roger Adermark,Österhaninge SKF,Veteran,Liggande,99.6,92.2,99.3,101.3,93.9,99.1,585.4,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
